time,Y,Ym,Yl,Yu,U,Um,Ul,Uu,Mode,Control
127,0.06773004138796988,0.06,0.0,0.66291424258897524,57.62889964984919,62.703,42.454165544222896,72.803633755475488,y,5
128,0.08429646472291577,0.064,0.0,0.67911911284315507,52.81213026839756,56.559,37.726737579125576,67.897522957669551,y,5
129,0.06827245134319329,0.06,0.0,0.66225830478380165,50.99372084926691,55.4,35.913123243831201,66.074318454702606,y,4
130,0.07916558724746707,0.059,0.0,0.67240142817028237,52.697082311259976,55.87,37.924014106936532,67.470150515583413,y,4
131,0.12957465489889672,0.081,0.0,0.72531313160221345,56.13513339099819,57.663,41.427459611386226,70.842807170610158,y,5
132,0.07099452783729532,0.065,0.0,0.66436950438607989,56.751115827585124,56.804,42.252210627490214,71.250021027680035,y,5
133,0.06344180071761914,0.061,0.0,0.65651356556782137,54.34410075886059,54.863,39.974105356854714,68.714096160866475,y,4
134,0.10406293288568066,0.07,0.0,0.69826281916769428,54.081191721502776,56.267,39.792213511760679,68.370169931244874,y,4
135,0.1010268568968683,0.092,0.0,0.69496921393320132,56.11376517769867,58.337,41.85967606487548,70.367854290521848,y,4
136,0.08131470734003327,0.068,0.0,0.66450715877760969,50.323868765698876,52.396,36.06945707512444,64.578280456273319,y,4
137,0.09543591034141258,0.061,0.0,0.67894601950860789,47.42216855140789,51.8,33.172306623398953,61.672030479416833,y,4
138,0.08669407628655454,0.063,0.0,0.66880341434401902,48.53739432540672,53.004,34.473306044280058,62.601482606533388,y,4
139,0.11344665911865673,0.071,0.0,0.67538592195689484,49.74960003223626,52.33,35.713510236377886,63.785689828094633,y,4
140,0.09656839810318246,0.068,0.0,0.65566063739437808,44.170479552043645,46.133,30.121840046772974,58.219119057314316,y,4
141,0.07225071547427761,0.063,0.0,0.59735896369575225,45.58325589676201,50.0,32.181213155340295,58.985298638183728,y,3
142,0.14001262614710014,0.097,0.0,0.66477336573605927,48.592089540017184,50.67,35.394860048955287,61.789319031079081,y,3
143,0.13637731786853757,0.09,0.0,0.66029931863576341,48.81448690239857,49.142,35.988510239744421,61.64046356505272,y,4
144,0.06742750540881859,0.067,0.0,0.58165407992927098,44.425644604834076,45.444,31.606090693783393,57.245198515884759,y,4
145,0.09194362087441836,0.066,0.0,0.60471460970705049,41.24078555377847,43.867,28.466778100217333,54.014793007339613,y,4
146,0.06924344529563585,0.071,0.0,0.5680374602782875,42.87753070842217,46.2,30.266150372510431,55.488911044333911,y,3
147,0.06705328703897522,0.063,0.0,0.56748229086667035,38.45192675559895,40.933,26.647199035652712,50.256654475545183,y,3
148,0.1383271800652905,0.098,0.0,0.64532644855996923,35.34501142345499,39.134,23.726491553989732,46.963531292920251,y,4
149,0.06931337320176592,0.087,0.0,0.55848428537652339,35.38379597289594,39.003,28.502638145455386,42.264953800336492,y,4
